product_id,product_name,category,brand,price,discount_pct,final_price,rating,num_reviews,delivery_time_min,city,seller,stock,sold_quantity,profit_margin_pct,is_organic,packaging_type,weight_g,shelf_life_days,reorder_level,demand_index,date_added,expiry_date,offer_type,delivery_status
1,Tata Organic Grocery 300,Grocery,Tata,203.31,25,150.09,4.44,149,37,Bengaluru,UrbanSeller,76,237,29.93,TRUE,Can,742,215,15,72,2023-11-27,2024-06-26,None,On-Time
2,Mother Dairy Lite Dairy 275,Dairy,Mother Dairy,43.61,30,31.54,4.04,263,36,Jaipur,QuickStores,123,28,15.45,FALSE,Jar,1010,17,24,25,2024-08-07,2024-08-24,None,Delayed
3,P&G Classic Personal 439,Personal Care,P&G,498.37,0,494.94,3.68,68,17,Chennai,QuickStores,124,584,6.47,TRUE,Jar,1005,1477,25,99,2024-03-03,2028-03-05,FreeDelivery,On-Time
4,Dettol Fresh Household 771,Household,Dettol,624.54,0,620.81,3.9,102,23,Delhi,UrbanSeller,92,33,37.05,TRUE,Bottle,201,1131,18,15,2024-08-07,2027-09-24,None,On-Time
5,Minute Maid Daily Beverages 264,Beverages,Minute Maid,101.96,15,87.72,4.27,419,10,Pune,UrbanSeller,151,47,14.44,TRUE,Can,304,362,30,6,2024-07-04,2025-07-02,None,On-Time
6,Britannia Premium Snacks 284,Snacks,Britannia,250.05,5,239.53,4.42,450,14,Delhi,QuickStores,113,284,30.99,FALSE,Can,500,169,22,81,2025-08-29,2026-02-13,None,On-Time
7,Britannia Organic Bakery 192,Bakery,Britannia,385.6,0,390.67,3.76,210,33,Lucknow,LocalMart,98,44,16.67,FALSE,Can,741,7,19,12,2024-06-08,2024-06-15,FreeDelivery,On-Time
8,Britannia Premium Bakery 931,Bakery,Britannia,377.26,10,333.43,4.21,37,34,Bengaluru,UrbanSeller,95,92,22.17,FALSE,Can,203,8,19,33,2024-11-21,2024-11-29,FlatDiscount,On-Time
9,Surf Excel Classic Household 748,Household,Surf Excel,539.79,5,520.97,4.19,167,20,Pune,UrbanSeller,103,120,30.82,FALSE,Bottle,1011,368,20,20,2024-07-23,2025-07-29,FreeDelivery,On-Time
10,Aashirvaad Fresh Grocery 206,Grocery,Aashirvaad,128.2,0,127.31,3.72,414,24,Bengaluru,LocalMart,138,58,11.29,TRUE,Can,492,686,27,22,2023-11-16,2025-09-26,None,On-Time
11,Harpic Premium Household 296,Household,Harpic,902.86,10,823.56,3.78,165,29,Mumbai,SellerA,125,194,12.87,TRUE,Can,247,616,24,50,2025-09-02,2027-05-22,None,On-Time
12,Lizol Fresh Household 602,Household,Lizol,163.6,5,157.46,4.03,250,29,Kolkata,UrbanSeller,104,198,15.8,FALSE,Packet,994,603,20,33,2024-07-07,2026-03-11,None,On-Time
13,ITC Premium Snacks 122,Snacks,ITC,91.15,0,93.27,4.19,380,39,Delhi,SellerB,79,32,22.34,FALSE,Pouch,302,200,15,14,2025-09-12,2026-04-02,None,On-Time
14,Britannia Family Pack Bakery 876,Bakery,Britannia,491.14,0,494.67,4.77,122,30,Kolkata,SellerA,91,415,24.07,FALSE,Packet,742,9,18,100,2023-12-22,2023-12-31,FlatDiscount,Delayed
15,Tata Lite Grocery 795,Grocery,Tata,63.48,20,51.07,3.65,200,27,Mumbai,SellerB,96,201,13.02,FALSE,Bottle,748,374,18,43,2024-08-08,2025-08-10,None,Delayed
16,Patanjali Classic Grocery 101,Grocery,Patanjali,335.09,0,331.81,3.67,565,44,Lucknow,SellerA,73,39,28.4,FALSE,Bottle,737,671,14,20,2025-03-03,2027-01-09,None,On-Time
17,Mother Dairy Lite Dairy 52,Dairy,Mother Dairy,208.26,10,187.06,3.38,225,23,Pune,DailyNeeds,111,16,17.26,FALSE,Bottle,498,16,22,19,2024-06-06,2024-06-22,FreeDelivery,On-Time
18,Aavin Premium Dairy 101,Dairy,Aavin,191.44,20,153.64,4.25,399,32,Ahmedabad,LocalMart,122,56,5.39,FALSE,Pouch,253,12,24,32,2024-01-06,2024-01-18,FlatDiscount,On-Time
19,Lay's Classic Snacks 961,Snacks,Lay's,38.73,15,33.1,4.95,383,29,Kolkata,LocalMart,109,88,31.64,TRUE,Packet,496,196,22,26,2024-05-24,2024-12-03,FlatDiscount,On-Time
20,Lizol Original Household 737,Household,Lizol,656.55,20,525.75,4.61,171,34,Pune,DailyNeeds,97,76,27.33,TRUE,Pouch,983,1612,19,28,2025-05-26,2029-11-18,FreeDelivery,On-Time
21,Britannia Original Snacks 407,Snacks,Britannia,243.01,10,219.54,4.06,487,45,Mumbai,SellerB,109,207,11.06,FALSE,Can,398,324,21,51,2023-11-05,2024-09-30,FlatDiscount,On-Time
22,Fortune Organic Grocery 168,Grocery,Fortune,478.52,25,354.63,4.08,470,34,Mumbai,UrbanSeller,132,133,18.78,FALSE,Can,298,522,26,45,2024-05-23,2025-11-05,FlatDiscount,Delayed
23,Modern Premium Bakery 144,Bakery,Modern,422.38,5,401.82,4.33,373,16,Hyderabad,QuickStores,87,235,40.35,FALSE,Jar,401,4,17,51,2025-01-22,2025-01-26,FlatDiscount,On-Time
24,Amul Classic Dairy 954,Dairy,Amul,68.45,10,61.51,4.47,467,31,Bengaluru,LocalMart,87,78,33.29,FALSE,Packet,495,8,17,23,2024-09-07,2024-09-15,None,Delayed
25,Aavin Fresh Dairy 748,Dairy,Aavin,226.41,25,164.17,4.47,265,53,Mumbai,QuickStores,131,237,16.83,FALSE,Can,491,14,26,62,2024-04-11,2024-04-25,FreeDelivery,Delayed
26,FreshFarm Original Fruits 804,Fruits & Vegetables,FreshFarm,155.05,0,154.71,4.04,134,24,Hyderabad,UrbanSeller,133,37,6.23,FALSE,Box,253,15,27,18,2025-10-15,2025-10-30,None,Delayed
27,Britannia Fresh Bakery 886,Bakery,Britannia,417.99,5,391.46,4.22,225,19,Chennai,QuickStores,122,121,27.71,FALSE,Bottle,99,12,24,54,2024-05-12,2024-05-24,None,On-Time
28,Aashirvaad Daily Grocery 706,Grocery,Aashirvaad,366.32,31,256.83,3.18,404,25,Hyderabad,UrbanSeller,128,85,11,TRUE,Pouch,393,356,25,35,2025-06-13,2026-06-10,FreeDelivery,On-Time
29,Patanjali Daily Grocery 796,Grocery,Patanjali,93.53,5,90.19,5.04,499,28,Chennai,DailyNeeds,122,10,13.69,TRUE,Packet,298,438,24,39,2023-12-12,2025-02-24,Buy1Get1,On-Time
30,Britannia Lite Snacks 121,Snacks,Britannia,111.67,15,95.06,4.4,401,30,Chennai,LocalMart,87,5,20.43,TRUE,Jar,401,318,17,13,2024-09-08,2025-07-24,FlatDiscount,On-Time
31,Harpic Fresh Household 480,Household,Harpic,425.04,10,380.06,3.94,202,24,Hyderabad,UrbanSeller,129,62,10.61,FALSE,Packet,99,985,26,31,2024-08-16,2027-04-30,None,On-Time
32,Nivea Family Pack Personal 502,Personal Care,Nivea,84.21,10,74.4,4.21,385,24,Kolkata,LocalMart,113,31,24.44,FALSE,Jar,198,962,22,39,2025-04-07,2027-11-09,FlatDiscount,On-Time
33,Fortune Organic Grocery 280,Grocery,Fortune,469.53,5,452.63,4.29,428,23,Kolkata,SellerB,75,107,29.44,FALSE,Can,197,638,15,30,2024-12-25,2026-10-02,Cashback,On-Time
34,DailyGreens Lite Fruits 299,Fruits & Vegetables,DailyGreens,253.31,20,205.66,4.53,61,28,Delhi,SellerA,121,67,31.67,FALSE,Jar,1963,10,23,17,2023-12-18,2023-12-28,FlatDiscount,Delayed
35,Patanjali Original Grocery 870,Grocery,Patanjali,179.94,25,138.38,4.1,358,41,Lucknow,LocalMart,125,202,33.41,FALSE,Can,741,648,25,60,2024-04-07,2026-01-03,Buy1Get1,On-Time
36,Harpic Organic Household 834,Household,Harpic,357.72,20,286.36,4.46,427,34,Lucknow,DailyNeeds,123,67,16.41,FALSE,Pouch,395,830,24,23,2024-08-01,2026-11-24,None,Delayed
37,Fortune Original Grocery 286,Grocery,Fortune,343.83,15,293.38,4.58,226,31,Bengaluru,UrbanSeller,94,111,36.33,FALSE,Box,991,599,18,55,2023-12-30,2025-08-26,None,On-Time
38,Gowardhan Family Pack Dairy 56,Dairy,Gowardhan,114.59,0,113.43,4.49,267,18,Pune,DailyNeeds,120,37,33.59,FALSE,Can,507,22,24,23,2024-06-08,2024-06-30,None,On-Time
39,DailyGreens Lite Fruits 791,Fruits & Vegetables,DailyGreens,289.39,0,284.57,3.56,166,21,Ahmedabad,SellerB,128,104,36.51,FALSE,Can,2015,13,25,41,2023-11-24,2023-12-07,None,On-Time
40,Britannia Premium Bakery 316,Bakery,Britannia,72.24,10,66.55,4.28,101,24,Chennai,SellerB,97,390,25.13,FALSE,Box,750,6,19,96,2024-01-19,2024-01-25,None,On-Time
