school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,part_time_job
MS,F,20,R,LE3,A,1,2,at_home,teacher,home,father,1,4,0,yes,yes,no,yes,yes,no,no,no,5,2,1,4,5,2,10,14,15,16,yes
MS,M,20,R,LE3,A,0,2,services,health,home,father,3,1,0,yes,yes,no,yes,yes,yes,no,yes,2,3,5,2,3,1,10,8,6,6,no
MS,M,17,R,LE3,T,2,1,teacher,at_home,home,father,1,1,0,no,yes,no,no,no,no,no,yes,3,2,4,1,2,3,25,11,7,3,yes
GP,F,18,R,LE3,T,3,3,at_home,teacher,course,mother,4,1,1,yes,yes,yes,no,yes,no,yes,no,1,2,5,4,5,4,6,18,18,17,yes
MS,F,18,R,LE3,A,1,0,teacher,teacher,course,other,1,2,0,no,no,no,yes,yes,no,no,yes,1,3,3,2,3,4,6,5,1,2,no
GP,M,16,U,GT3,T,1,3,at_home,at_home,home,other,3,3,0,yes,yes,yes,no,yes,no,no,yes,4,5,3,1,3,4,21,19,18,20,yes
MS,F,22,R,GT3,T,2,3,health,other,course,other,2,2,0,no,no,yes,no,yes,yes,yes,no,2,5,3,4,5,5,11,10,8,9,no
GP,M,15,R,LE3,A,0,1,health,services,course,mother,3,3,0,yes,no,yes,no,no,no,no,yes,1,4,2,4,1,1,8,18,20,20,yes
GP,M,21,R,LE3,T,4,1,services,at_home,reputation,mother,3,2,0,no,yes,no,no,no,no,yes,yes,2,3,5,3,2,3,14,9,10,11,yes
MS,F,16,U,LE3,T,3,2,at_home,other,course,mother,2,2,0,no,no,no,no,yes,no,no,yes,1,1,4,5,2,4,0,18,14,14,no
MS,F,21,U,LE3,A,1,4,other,other,home,other,2,1,3,no,no,no,yes,yes,yes,yes,yes,3,5,3,3,2,5,19,17,4,8,yes
GP,M,21,R,GT3,A,3,3,other,teacher,home,father,1,4,3,no,no,yes,no,no,yes,no,yes,2,4,3,2,5,5,28,6,9,8,no
GP,F,16,U,LE3,T,4,2,other,teacher,home,other,1,1,0,no,no,no,no,no,yes,yes,no,3,2,5,4,3,1,17,4,3,0,no
GP,M,17,U,GT3,T,1,1,other,other,reputation,father,1,2,0,no,no,yes,no,no,yes,yes,no,4,3,3,1,2,4,2,12,10,11,no
MS,M,19,R,GT3,A,0,1,at_home,at_home,home,father,4,2,0,no,yes,no,yes,yes,yes,yes,no,1,1,2,4,5,2,22,6,3,4,no
MS,M,21,U,LE3,A,4,3,other,services,course,mother,4,3,0,no,no,no,yes,no,yes,no,no,5,1,2,1,2,3,10,7,4,7,yes
MS,M,22,R,LE3,T,2,1,health,other,course,other,4,4,0,yes,no,no,no,no,no,no,no,1,5,2,5,3,4,17,17,16,14,no
GP,M,22,R,LE3,A,2,2,services,services,course,mother,2,1,0,no,no,no,yes,yes,no,no,yes,2,1,1,1,3,1,13,18,19,18,no
MS,M,17,U,GT3,A,1,4,other,services,home,mother,2,2,0,yes,no,yes,no,no,yes,yes,no,4,1,5,5,4,1,1,14,14,16,no
GP,M,17,R,GT3,A,2,4,health,teacher,reputation,other,4,2,0,no,no,yes,no,no,no,no,yes,3,4,4,1,2,3,7,6,8,9,yes
MS,M,20,R,LE3,T,0,2,health,other,course,father,2,4,1,no,no,yes,no,yes,no,no,yes,2,1,2,1,5,3,17,14,19,8,no
GP,F,16,R,GT3,A,4,4,teacher,health,other,other,1,2,0,no,no,yes,yes,no,no,yes,no,2,4,5,5,3,4,14,6,9,6,no
GP,F,21,U,LE3,A,1,1,at_home,services,course,other,4,3,0,no,no,no,yes,no,yes,yes,no,2,2,2,2,3,5,23,13,13,11,no
MS,F,19,R,LE3,T,4,1,other,health,course,other,2,4,0,yes,yes,no,yes,yes,yes,no,no,1,4,5,5,2,1,27,12,12,9,no
GP,M,17,U,LE3,A,1,3,at_home,teacher,course,father,4,2,0,yes,no,yes,yes,yes,yes,no,no,4,5,2,2,2,3,19,9,11,7,yes
GP,F,16,R,GT3,T,4,2,services,services,other,other,4,2,0,yes,yes,yes,no,yes,yes,yes,no,4,2,1,4,3,5,28,11,10,11,yes
MS,M,21,R,LE3,A,0,4,other,teacher,other,father,2,3,0,yes,no,yes,no,no,yes,no,yes,5,1,5,1,3,3,7,12,15,13,yes
GP,F,22,U,GT3,T,3,1,health,at_home,course,other,2,2,0,no,no,yes,yes,yes,yes,yes,yes,5,5,5,3,1,5,9,2,5,8,yes
MS,M,19,R,LE3,T,4,4,other,services,home,mother,2,3,2,no,no,yes,yes,no,no,yes,no,3,1,5,1,2,1,11,9,13,16,yes
MS,M,16,U,GT3,T,1,0,services,teacher,reputation,father,3,2,3,yes,no,yes,yes,no,yes,yes,no,3,3,2,4,3,5,6,19,18,16,no
